Year, Month, Day, Hour, Minute, Second, Millisecond, taskTime, state, pos.x, pos.y, pos.z, eulerAngle.x, eulerAngle.y, eulerAngle.z
2023, 06, 06, 12, 31, 42, 643, 1.64184, 2, 7.37998, 0.313539, 1.3156, -0.00323863, -0.0236842, 0.0144725
2023, 06, 06, 12, 31, 42, 665, 1.66189, 2, 7.38362, 0.312255, 1.31595, -0.00280157, -0.0241848, 0.0142495
2023, 06, 06, 12, 31, 42, 686, 1.68188, 2, 7.38362, 0.312255, 1.31519, -0.00272858, -0.0241893, 0.0142565
2023, 06, 06, 12, 31, 42, 702, 1.70185, 2, 7.38814, 0.314027, 1.31753, -0.00281122, -0.0245478, 0.014146
2023, 06, 06, 12, 31, 42, 722, 1.72188, 2, 7.38814, 0.314027, 1.3179, -0.00284557, -0.0246547, 0.0141309
2023, 06, 06, 12, 31, 42, 743, 1.74187, 2, 7.39192, 0.314379, 1.31752, -0.00261442, -0.0247034, 0.0143713
2023, 06, 06, 12, 31, 42, 764, 1.76189, 2, 7.39491, 0.31617, 1.31793, -0.00242809, -0.0251202, 0.0138974
2023, 06, 06, 12, 31, 42, 785, 1.78195, 2, 7.39906, 0.315663, 1.31803, -0.00323895, -0.0248856, 0.0139275
2023, 06, 06, 12, 31, 42, 802, 1.80185, 2, 7.39906, 0.315663, 1.31973, -0.00305426, -0.0249141, 0.0142821
2023, 06, 06, 12, 31, 42, 823, 1.82185, 2, 7.40343, 0.312984, 1.32016, -0.00224293, -0.0251673, 0.0137084
2023, 06, 06, 12, 31, 42, 844, 1.84184, 2, 7.40343, 0.312984, 1.32055, -0.00264782, -0.0249666, 0.013918
2023, 06, 06, 12, 31, 42, 864, 1.86183, 2, 7.41491, 0.314162, 1.32094, -0.00296624, -0.0251609, 0.0142506
2023, 06, 06, 12, 31, 42, 883, 1.88185, 2, 7.41491, 0.314162, 1.32007, -0.00260874, -0.0250049, 0.0137136
2023, 06, 06, 12, 31, 42, 903, 1.90189, 2, 7.42175, 0.313975, 1.32219, -0.00245318, -0.025029, 0.0141253
2023, 06, 06, 12, 31, 42, 922, 1.92186, 2, 7.42609, 0.312878, 1.32255, -0.00276662, -0.0254842, 0.0140868
2023, 06, 06, 12, 31, 42, 947, 1.94193, 2, 7.4304, 0.313418, 1.32151, -0.00312762, -0.0252995, 0.0137927
2023, 06, 06, 12, 31, 42, 967, 1.96189, 2, 7.4304, 0.313418, 1.32185, -0.00291782, -0.0253479, 0.0143914
2023, 06, 06, 12, 31, 42, 986, 1.98194, 2, 7.43433, 0.315082, 1.32082, -0.00287794, -0.0257789, 0.0142845
2023, 06, 06, 12, 31, 43, 004, 2.0019, 2, 7.43433, 0.315082, 1.32299, -0.00310526, -0.0254492, 0.0142738
2023, 06, 06, 12, 31, 43, 023, 2.02185, 2, 7.43957, 0.314461, 1.3233, -0.00320059, -0.0257039, 0.014571
2023, 06, 06, 12, 31, 43, 043, 2.04187, 2, 7.43957, 0.314461, 1.32265, -0.00327504, -0.0262132, 0.0142978
2023, 06, 06, 12, 31, 43, 064, 2.06202, 2, 7.44399, 0.314683, 1.32296, -0.00297674, -0.0259013, 0.0146392
2023, 06, 06, 12, 31, 43, 087, 2.08201, 2, 7.44796, 0.313396, 1.32228, -0.00310075, -0.0263579, 0.0146124
2023, 06, 06, 12, 31, 43, 103, 2.10184, 2, 7.44969, 0.310739, 1.32433, -0.00337594, -0.0264014, 0.0145662
2023, 06, 06, 12, 31, 43, 123, 2.12191, 2, 7.44969, 0.310739, 1.32463, -0.00289565, -0.0261091, 0.015018
